Thresholds: ,"[0.1, 0.45, 0.35, 0.35, 0.5, 0.4, 0.25, 0.45, 0.45, 0.05, 0.5, 0.45, 0.05, 0.5, 0.5, 0.35, 0.3, 0.1, 0.35, 0.5, 0.45, 0.45, 0.05, 0.15]"
Score: ,0.451633115
Thresholds: ,"[0.07, 0.08000000000000002, 0.23000000000000004, 0.09000000000000001, 0.45000000000000007, 0.060000000000000005, 0.29000000000000004, 0.19, 0.43000000000000005, 0.12000000000000001, 0.2, 0.2, 0.16000000000000003, 0.05, 0.24000000000000005, 0.08000000000000002, 0.31000000000000005, 0.08000000000000002, 0.19, 0.25000000000000006, 0.45000000000000007, 0.09000000000000001, 0.11000000000000001, 0.4000000000000001]"
Score: ,0.516697638
Thresholds: ,"[0.21000000000000002, 0.45000000000000007, 0.2, 0.17000000000000004, 0.27, 0.14, 0.19, 0.22000000000000003, 0.4700000000000001, 0.08000000000000002, 0.13, 0.13, 0.49000000000000005, 0.45000000000000007, 0.13, 0.30000000000000004, 0.08000000000000002, 0.19, 0.2, 0.29000000000000004, 0.4600000000000001, 0.4100000000000001, 0.29000000000000004, 0.4000000000000001]"
Score: ,0.534142901
Thresholds: ,"[0.37000000000000005, 0.39000000000000007, 0.45000000000000007, 0.35000000000000003, 0.4000000000000001, 0.21000000000000002, 0.09000000000000001, 0.49000000000000005, 0.32000000000000006, 0.17000000000000004, 0.45000000000000007, 0.08000000000000002, 0.07, 0.16000000000000003, 0.1, 0.23000000000000004, 0.32000000000000006, 0.28, 0.29000000000000004, 0.1, 0.29000000000000004, 0.4800000000000001, 0.19, 0.4000000000000001]"
Score: ,0.5352747
Thresholds: ,"[0.31000000000000005, 0.31000000000000005, 0.39000000000000007, 0.13, 0.39000000000000007, 0.22000000000000003, 0.19, 0.2, 0.22000000000000003, 0.21000000000000002, 0.44000000000000006, 0.17000000000000004, 0.16000000000000003, 0.4000000000000001, 0.27, 0.12000000000000001, 0.1, 0.22000000000000003, 0.07, 0.29000000000000004, 0.12000000000000001, 0.2, 0.15000000000000002, 0.2]"
Score: ,0.538368036
Thresholds: ,"[0.14, 0.29000000000000004, 0.18000000000000005, 0.26000000000000006, 0.08000000000000002, 0.21000000000000002, 0.09000000000000001, 0.15000000000000002, 0.18000000000000005, 0.4000000000000001, 0.09000000000000001, 0.15000000000000002, 0.4100000000000001, 0.23000000000000004, 0.12000000000000001, 0.31000000000000005, 0.060000000000000005, 0.11000000000000001, 0.4800000000000001, 0.29000000000000004, 0.4100000000000001, 0.45000000000000007, 0.13, 0.21000000000000002]"
Score: ,0.543558866
Thresholds: ,"[0.18000000000000005, 0.17000000000000004, 0.33, 0.14, 0.43000000000000005, 0.1, 0.17000000000000004, 0.27, 0.14, 0.19, 0.18000000000000005, 0.11000000000000001, 0.12000000000000001, 0.060000000000000005, 0.12000000000000001, 0.24000000000000005, 0.28, 0.4000000000000001, 0.15000000000000002, 0.08000000000000002, 0.28, 0.4100000000000001, 0.11000000000000001, 0.14]"
Score: ,0.548191084
Thresholds: ,"[0.30000000000000004, 0.31000000000000005, 0.22000000000000003, 0.35000000000000003, 0.09000000000000001, 0.05, 0.13, 0.37000000000000005, 0.11000000000000001, 0.13, 0.49000000000000005, 0.060000000000000005, 0.32000000000000006, 0.32000000000000006, 0.13, 0.24000000000000005, 0.08000000000000002, 0.21000000000000002, 0.39000000000000007, 0.14, 0.26000000000000006, 0.1, 0.12000000000000001, 0.44000000000000006]"
Score: ,0.551493392
Thresholds: ,"[0.08000000000000002, 0.45000000000000007, 0.22000000000000003, 0.12000000000000001, 0.19, 0.19, 0.14, 0.14, 0.09000000000000001, 0.24000000000000005, 0.4800000000000001, 0.29000000000000004, 0.35000000000000003, 0.4000000000000001, 0.12000000000000001, 0.43000000000000005, 0.16000000000000003, 0.13, 0.05, 0.26000000000000006, 0.32000000000000006, 0.14, 0.15000000000000002, 0.4600000000000001]"
Score: ,0.551646159
Thresholds: ,"[0.4100000000000001, 0.39000000000000007, 0.17000000000000004, 0.060000000000000005, 0.12000000000000001, 0.19, 0.17000000000000004, 0.11000000000000001, 0.24000000000000005, 0.12000000000000001, 0.26000000000000006, 0.12000000000000001, 0.35000000000000003, 0.29000000000000004, 0.1, 0.4100000000000001, 0.17000000000000004, 0.12000000000000001, 0.08000000000000002, 0.18000000000000005, 0.19, 0.22000000000000003, 0.28, 0.36000000000000004]"
Score: ,0.551721037
Thresholds: ,"[0.44000000000000006, 0.32000000000000006, 0.43000000000000005, 0.11000000000000001, 0.33, 0.09000000000000001, 0.18000000000000005, 0.060000000000000005, 0.060000000000000005, 0.43000000000000005, 0.05, 0.13, 0.060000000000000005, 0.18000000000000005, 0.11000000000000001, 0.4100000000000001, 0.12000000000000001, 0.33, 0.14, 0.060000000000000005, 0.32000000000000006, 0.43000000000000005, 0.17000000000000004, 0.08000000000000002]"
Score: ,0.552320562
Thresholds: ,"[0.18000000000000005, 0.1, 0.23000000000000004, 0.2, 0.21000000000000002, 0.1, 0.17000000000000004, 0.28, 0.42000000000000004, 0.4600000000000001, 0.05, 0.11000000000000001, 0.13, 0.22000000000000003, 0.15000000000000002, 0.15000000000000002, 0.12000000000000001, 0.18000000000000005, 0.1, 0.26000000000000006, 0.43000000000000005, 0.1, 0.2, 0.08000000000000002]"
Score: ,0.552740824
